Extensive Reading Foundation Graded Reader List																											
Black Cat - Cideb					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code		Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher  level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (Audio Book)	ISBN D (?)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
BCG2	Black Cat - Cideb	Robin Hood	Retold by Sally M. Stockton	Black Cat Green Apple	Step 2		Intermediate (M)	A2/B1	2.5-3.0	6,147 		A	96	Y	6	F	Legend	teen	978-88-7754-987-7	978-88-530-1207-4						Y	
BCG2D	Black Cat - Cideb	Romeo and Juliet	William Shakespeare, Adapted by Victoria Heward	Black Cat Green Apple Drama	Step 2		Intermediate (M)	A2/B1	2.5-3.0	8,837 		A	144	S	6	F	Love	teen		978-88-530-0799-5						Y	
BCG2	Black Cat - Cideb	Treasure Island	Robert Louis Stevenson, Adapted by Derek Sellen	Black Cat Green Apple	Step 2		Intermediate (M)	A2/B1	3.0-3.5	7,067 		A	112	S	6	F	Adventure	teen		978-88-7754-927-3						Y	
BCG2	Black Cat - Cideb	White Fang	Jack London, Adapted by Elizabeth Ann Moore	Black Cat Green Apple	Step 2		Intermediate (M)	A2/B1	2.5-3.0	7,000 		E		S	6	F	Adventure	teen	978-88-530-0399-7							Y	
BCT1	Black Cat - Cideb	Alien Alert in Seattle	Gina D. B. Clemen	Black Cat Reading and Training	Step 1		Elementary (H)	A2	2.0-3.0	6788		A	96	S	4	F	Mystery & horror			978-88-530-0958-6						Y	
BCT1	Black Cat - Cideb	Home for Christmas	Andrea M. Hutchinson	Black Cat Reading and Training	Step 1		Elementary (H)	A2	2.0-3.0	4,839 		A	80	S	4	F	Adventure			978-88-530-0542-7						Y	
BCT1		Message from a Ghost, A	Andrea M. Hutchinson	Black Cat Reading and Training	Step 1		Elementary (H)	A2	2.0-3.0	5,663 		A	80	S	4	F	Mystery & horror	teen		978-88-530-1206-7						Y	
BCT1	Black Cat - Cideb	Miami Police File: the O'Nell Case	Gina D. B. Clemen	Black Cat Reading and Training	Step 1		Elementary (H)	A2	2.0-3.0	6,922 		A	96	S	4	F	Crime			978-88-530-0604-2						Y	
BCT1	Black Cat - Cideb	Missing in Sydney	Andrea M. Hutchinson	Black Cat Reading and Training	Step 1		Elementary (H)	A2	2.0-3.0	4,462 		A	80	S	4	F	Adventure			978-88-530-0535-9						Y	
BCT1		Recipe for Success  	Andrea M. Hutchinson 	Black Cat Reading and Training	Step 1		Elementary (H)	A2	2.0-3.0	6,239 		A	96	S	4	F	Human interest			978-88-530-1414-6							
BCT1	Black Cat - Cideb	Sherlock Holmes Stories	Sir Arthur Conan Doyle, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 1		Elementary (H)	A2	2.0-3.0	6,936 		A	96	S	4	F	Crime			978-88-530-0515-1						Y	
BCT1		Stories for the Curious 	M.R. James Adapted by Eleanor Donaldson	Black Cat Reading and Training	Step 1		Elementary (H)	A2	2.0-3.0	7,253 			80	S	4	F	Mystery & Horror			978-88-530-1514-3							
BCT1	Black Cat - Cideb	Tales from the Thousand and One Nights	Retold by Jennifer Gascoigne	Black Cat Reading and Training	Step 1		Elementary (H)	A2	2.0-3.0	7,253 		A	96	S	4	F	Fairy tale & fantasy			978-88-530-0517-5						Y	
BCT1	Black Cat - Cideb	Tristan and Isolde	Retold by George Gibson	Black Cat Reading and Training	Step 1		Elementary (H)	A2	2.0-3.0	5,810 		A	80	S	4	F	Legend			978-88-530-0642-4						Y	
BCT1		Truth about Professor Smith, The	Andrea M. Hutchinson	Black Cat Reading and Training	Step 1		Elementary (H)	A2	2.0-3.0	5,773 		A	80	S	4	F	Mystery	teen		978-88-530-1326-2							
BCT2	Black Cat - Cideb	Alice's Adventures in Wonderland	Lewis Carroll, Adapted by Kenneth Brodey	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	8,647 		A	112	Y	5	F	Fairy tale & fantasy		978-88-530-0634-9	978-88-530-1327-9						Y	
BCT2	Black Cat - Cideb	Animal Tales	R. Kipling, E. Parker Butler, Saki, M. Twain, J. K. Jerome, Adapted by James Butler	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	5,562 		A	112	Y	5	F	Humor & comedy		978-88-530-0015-6							Y	
BCT2	Black Cat - Cideb	Around the World in Eighty Days	Jules Verne, Adapted by Eleanor Donaldson	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	9,456 		A	112	S	5	F	Adventure		978-88-530-0658-5	978-88-530-1099-5						Y	
BCT2		Boscombe Valley Mystery (The)	Sir Arthur Conan Doyle , Adapted by Gina D.B. Clemen	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	6,126 		E	80	Y	5	F	Crime			978-88-530-1548-8							
BCT2	Black Cat - Cideb	Dream Come True, A	Andrea M. Hutchinson	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	6,921 		A	112	S	5	F	Human interest			978-88-530-0624-0						Y	
BCT2		Eighth Sister (The) 	Victoria Heward	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	6,852 			80	S	5	F	Human interest			978-88-530-1513-6							2016 LLL Award Finalist
BCT2	Black Cat - Cideb	Fisherman and his Soul (The)	Oscar Wilde, Adapted by Kenneth Brodey	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	6,477 		A	112	Y	5	F	Fairy tale & fantasy			978-88-530-0158-0						Y	
BCT2	Black Cat - Cideb	Hamlet, Prince of Denmark	William Shakespeare, Adapted by Derek Sellen	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	2,369 		A	96	Y	5	F	Tragedy			978-88-530-0832-9						Y	
BCT2	Black Cat - Cideb	Journey to the Centre of the Earth	Jules Verne	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	7,981 		A	112	S	5	F	Adventure			978-88-530-1094-0						Y	
BCT2	Black Cat - Cideb	Jumping Frog (The)	Mark Twain, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	2,991 		A	96	Y	5	F	Humor & comedy			978-88-530-0138-2						Y	
BCT2	Black Cat - Cideb	Kidnapped	Robert Louis Stevenson, Adapted by Nancy Timmins	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	7,707 		A	96	S	5	F	Adventure			978-88-530-0544-1						Y	
BCT2	Black Cat - Cideb	Lost World (The)	Sir Arthur Conan Doyle, Adapted by Frederick Garland	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	7,863 		A	128	S	5	F	Adventure			978-88-530-0550-2						Y	
BCT2		Luckiest Girl in the World (The)	Andrea M. Hutchinson	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	5,925 		A	80	Y	5	F	Human interest			978-88-530-1550-1							
BCT2	Black Cat - Cideb	Magical Tales from the South Seas	Robert Louis Stevenson, Adapted by Elizabeth Ann Moore	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	8,500 		A		N	5	F	Fairy tale & fantasy			978-88-530-0513-7						Y	
BCT2	Black Cat - Cideb	Murder at Coyote Canyon	Gina D. B. Clemen	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	9,006 		A	112	S	5	F	Crime			978-88-530-0713-1						Y	
BCT2	Black Cat - Cideb	Mutiny on the Bounty (The)	Retold by Jeremy Fitzgerald	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0					N	5	NF	Adventure			978-88-530-0308-9						Y	
BCT2		Mystery in New Orleans  	Gina D. B. Clemen	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	7595		A	96	S	5	F	Mystery & Horror			978-88-530-1415-3							2015 LLL Award Finalist
BCT2	Black Cat - Cideb	Rajah's Diamond (The)	Robert Louis Stevenson, Adapted by Frances Justice	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	6,944 		A	96	S	5	F	Adventure			978-88-530-0495-6						Y	
BCT2	Black Cat - Cideb	Ransom of Red Chief and Other Stories (The)	O. Henry, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	7,062 		A	112	S	5	F	Humor & comedy			978-88-7754-928-0						Y	
BCT2	Black Cat - Cideb	Rob Roy	Sir Walter Scott, Adapted by Kenneth Brodey	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	10,024 		A	96	S	5	F	Adventure			978-88-530-1017-9						Y	
BCT2	Black Cat - Cideb	Secret Garden (The)	Frances Hodgson Burnett, Adapted by Jenny Pereira	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	5,979 		A	96	Y	5	F	Human interest			978-88-530-0689-9						Y	
BCT2	Black Cat - Cideb	Stories of Ghosts and Mysteries	J. S. Le Fanu, R. Kipling, N. Hawthorne, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	6,976 		A	112	S	5	F	Mystery & horror			978-88-530-0954-8						Y	
BCT2	Black Cat - Cideb	Time Games	Victoria Heward	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	6963		A	80	S	6	F	Mystery & horror			978-88-530-1328-6							2014 LLL Award Finalist
BCT2	Black Cat - Cideb	Willing Ghost, The	Robert Wellington	Black Cat Reading and Training	Step 2		Intermediate (M)	B1	2.0-3.0	7406		A	112	S	5	F	Crime			978-88-530-1018-6						Y	
BCT3	Black Cat - Cideb	£1,000,000 Bank Note (The)	Mark Twain, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	6,300 		A	96	Y	6	F	Humor & comedy			978-88-530-0849-7						Y	
BCT3	Black Cat - Cideb	Alien at School		Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	7,900 		A		N	6	F			9788877547576	887754757X						N	Not in Catalog
BCT3	Black Cat - Cideb	Bizarre Tales		Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	13,800 		A		N	6	F			9788877547712	8877547715						N	Not in Catalog
BCT3	Black Cat - Cideb	Canterville Ghost (The)	Oscar Wilde, Adapted by Derek Sellen	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	4,737 		A	112	S	6	F	Mystery & horror			978-88-530-0659-2						Y	
BCT3	Black Cat - Cideb	Classic Detective Stories	Retold by Joshua Anderson	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	11,352 		A	128	Y	6	F	Crime			978-88-530-0795-7						Y	
BCT3	Black Cat - Cideb	Diamond as Big as The Ritz (The)	F. Scott Fitzgerald, Adapted by George Gibson	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	2.0-3.0	6,800 		A		N	6	F	Human interest			978-88-530-0366-9						Y	
BCT3	Black Cat - Cideb	Duck Soup		Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	2.0-3.0	11,000 		A		N	6	F			9788877547729	8877547723						N	Not in Catalog
BCT3	Black Cat - Cideb	Final Problem and Other Stories, The	Sir Arthur Conan Doyle	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	8,862 		A	96	S	6	F	Crime			978-88-530-1329-3						Y	
BCT3	Black Cat - Cideb	Great Mysteries of Our World	Gina D. B. Clemen	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	7,811 		A	96	S	6	NF	Human interest			978-88-530-0291-4						Y	
BCT3	Black Cat - Cideb	Gulliver's Travels	Jonathan Swift, Adapted by Jeremy Fitzgerald	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	11,181 		A	112	Y	6	F	Fairy tale & fantasy			978-88-530-0088-0						Y	
BCT3	Black Cat - Cideb	Hound of the Baskervilles (The)	Sir Arthur Conan Doyle, Adapted by Jeremy Fitzgerald	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	8,622 		A	112	S	6	F	Crime			978-88-530-0156-6						Y	
BCT3	Black Cat - Cideb	Jane Eyre	Charlotte Brontë, Adapted by Jenny Pereira	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	8,832 		A	112	Y	6	F	Love			978-88-530-0774-2						N	Not in Catalog
BCT3	Black Cat - Cideb	Julius Caesar	William Shakespeare, Adapted by James Butler	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	7,675 		A	96	S	6	F	Tragedy			978-88-530-0732-2						Y	
BCT3	Black Cat - Cideb	Kim	Rudyard Kipling, Adapted by Kenneth Brodey	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	10765		A	128	S	6	F	Human interest			978-88-530-0956-2						Y	
BCT3		Les Misérables	Victor Hugo , Adapted by Gina D.B. Clemen	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	11,404 		E	128	Y	6	F	Human interest			978-888-530-1549-5							
BCT3	Black Cat - Cideb	Lord Arthur Savile's Crime and Other Stories	Oscar Wilde, Adapted by Justin Rainey	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	7,199 		A	112	S	6	F	Human interest			978-88-530-0162-7						Y	
BCT3	Black Cat - Cideb	Love in Shakespeare: Five Stories	Adapted by Jennifer Gascoigne	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	11866		A	112	S	6	F	Love			978-88-530-1097-1							
BCT3	Black Cat - Cideb	Master of Ballantrae, The	Robert Louis Stevenson, Adapted by Kenneth Brodey	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	10881		A	112	S	6	F	Human interest			978-88-530-1019-3						Y	
BCT3	Black Cat - Cideb	Moonfleet	John Meade Falkner, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	10383		A	112	S	6	F	Adventure			978-88-530-0782-7						Y	
BCT3	Black Cat - Cideb	Of Mice and Men	John Steinbeck	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0					N	6	F										N	Not in catalog
BCT3	Black Cat - Cideb	Pearl (The)	John Steinbeck	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0					N	6	F										N	Not in catalog
BCT3	Black Cat - Cideb	Phantom of the Opera (The)	Gaston Leroux, Adapted by George Gibson	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	8,957 		A	128	Y	6	F	Mystery & horror			978-88-530-0716-2						Y	
BCT3	Black Cat - Cideb	Pickwick Papers, The	Charles Dickens, Adapted by Maud Jackson	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	13,198 		A	128	S	6	F	Human interest			978-88-530-1095-7							
BCT3	Black Cat - Cideb	Prisoner of Zenda (The)	Anthony Hope, Adapted by James Butler	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	10,100 		E		N	6	F	Adventure		978-88-7754-911-2							N	Not in Catalog
BCT3		Rain, Rain, Go Away!	Nicola Prentis	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	7,895 		E	96	Y	6	F	Adventure			978-88-530-1551-8							
BCT3	Black Cat - Cideb	Red Badge of Courage, The		Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	10,400 		E		N	6	F										N	Not in Catalog
BCT3	Black Cat - Cideb	Return of Sherlock Holmes (The)	Sir Arthur Conan Doyle, Adapted by Christopher Hall	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	10,279 		A	112	S	6	F	Crime			978-88-530-0546-5						Y	
BCT3	Black Cat - Cideb	Romeo and Juliet	William Shakespeare, Adapted by Derek Sellen	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	5,426 		A	112	Y	6	F	Love			978-88-530-0686-8						Y	
BCT3	Black Cat - Cideb	Scarlet Pimpernel (The): The Adventures of the Secret Spy	Baroness Orczy, Adapted by Emma Berridge	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0					N	6	F	Adventure			978-88-530-0329-4						Y	
BCT3	Black Cat - Cideb	Sherlock Holmes Investigates	Sir Arthur Conan Doyle, Adapted by Kenneth Brodey and Rebecca Raynes	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	10,438 		A	128	Y	6	F	Crime		978-88-530-0329-4	978-88-530-0780-3						Y	
BCT3	Black Cat - Cideb	Stories of Suspense	Nathaniel Hawthorne, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	6,800 		A		N	6	F	Mystery & horror			978-88-530-0160-3						Y	
BCT3	Black Cat - Cideb	Strange Case of Dr Jekyll and Mr Hyde (The)	Robert Louis Stevenson, Adapted by James Butler	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	7,606 		A	96	Y	6	F	Mystery & horror			978-88-530-0835-0						Y	
BCT3	Black Cat - Cideb	Tales of the Supernatural	Charles Dickens, Edgar Allan Poe, E. Nesbit, F. M. Crawford, Adapted by Peter Foreman	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	8,427 		A	96	S	6	F	Mystery & horror			978-88-530-0519-9						Y	
BCT3	Black Cat - Cideb	Three Men in a Boat	Jerome K. Jerome, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	6,615 		A	112	S	6	F	Humor & comedy			978-88-530-0763-6						Y	
BCT3	Black Cat - Cideb	Three Musketeers, The	Alexandre Dumas père, Adapted by Jennifer Gascoigne	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	12,188 		A	128	S	6	F	Adventure			978-88-530-1208-1						Y	
BCT3	Black Cat - Cideb	Tragedy of Richard III, The	William Shakespeare, Adapted by Richard Elliott	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	7,513 		A	112	S	6	F	Tragedy			978-88-530-1209-8						Y	
BCT3	Black Cat - Cideb	Treasure Island	Robert Louis Stevenson, Adapted by Christopher Hall	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	11,684 		A	128	Y	6	F	Adventure			978-88-530-0640-0						Y	
BCT3	Black Cat - Cideb	True Adventure Stories	Peter Foreman	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0					N	6	NF	Adventure		978-88-530-0830-5							Y	Not in Catalog
BCT3	Black Cat - Cideb	Twelfth Night	William Shakespeare, Adapted by Nancy Timmins	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	8,299 		A	96	S	6	F	Humor & comedy			978-88-530-0401-7						Y	
BCT3	Black Cat - Cideb	Vampire's Tear, The	Gina D. B. Clemen	Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	10,336 		A	112	S	6	F	Crime			978-88-530-1020-9						Y	
BCT3	Black Cat - Cideb	Vegas Hills Carnival Mystery, The		Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	7,100 		E		N	6	F			9788877547736	8877547731						N	Not in Catalog
BCT3	Black Cat - Cideb	Your Money or Your Life!		Black Cat Reading and Training	Step 3		Upper Int. (E)	B1	3.0-4.0	11,400 		E		N	6	F			9788877547743	887754774X						N	Not in Catalog
BCT4	Black Cat - Cideb	American Horror: Five Terrifying Tales	Edgar Allan Poe, Adapted by Kenneth Brodey	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	8,158 		A	112	Y	7	F	Mystery & horror			978-88-530-1022-3						Y	
BCT4	Black Cat - Cideb	Beowulf	Retold by Victoria Spence	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	7,922 		A	112	S	7	F	Legend		978-88-530-0636-3	978-88-530-1330-9						Y	
BCT4	Black Cat - Cideb	Big Mistake and Other Stories, The		Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	9,520 		E		N	7	F			9788877547750	8877547758						N	Not in Catalog
BCT4	Black Cat - Cideb	Canterbury Tales (The)	Geoffrey Chaucer, Adapted by Derek Sellen	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	10,868 		A	112	Y	7	F	Human interest			978-88-530-0638-7						Y	
BCT4	Black Cat - Cideb	Christmas Carol (A)	Charles Dickens, Adapted by Peter Foreman	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	7,931 		A	112	Y	7	F	Human interest			978-88-530-0025-5						Y	
BCT4	Black Cat - Cideb	Daisy Miller	Henry James, Adapted by Christopher Hall	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	4.5-5.5	6,000 		A		N	7	F	Human interest			978-88-530-0413-0						Y	
BCT4	Black Cat - Cideb	Dracula	Bram Stoker, Adapted by Kenneth Brodey	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	15,551 		A	144	Y	7	F	Mystery & horror			978-88-530-0960-9						Y	
BCT4	Black Cat - Cideb	Famous British Criminals: from the Newgate Calendar	Retold by Victoria Spence	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	4.5-5.5	9,500 		E		N	7	NF	Crime		978-88-530-0164-1							Y	
BCT4		Hamlet, Prince of Denmark	Adapted by Robert Hill	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	13,208 		A	112	Y		F	Tragedy			978-88-530-1552-5							
BCT4	Black Cat - Cideb	House of Seven Gables (The)	Nathaniel Hawthorne, Adaptation by Gina D. B. Clemen	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	8,848 		A	112	S	7	F	Human interest			978-88-530-0464-2						Y	
BCT4	Black Cat - Cideb	Jack the Ripper	Peter Foreman	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	4.5-5.5	7,900 		A	96	S	7	NF	Crime			978-88-530-0320-1						Y	
BCT4		Katherine Mansfield Short Stories	Katherine Mansfield, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	8,578 		A	96	S	7	F	Human interest			978-88-530-1416-0							
BCT4	Black Cat - Cideb	Last of the Mohicans (The)	James Fenimore Cooper, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	8,582 		A	144	Y	7	F	Adventure			978-88-530-0029-3						Y	
BCT4	Black Cat - Cideb	Macbeth	William Shakespeare, Adapted by James Butler	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	6,896 		A	96	S	7	F	Tragedy			978-88-530-0839-8						Y	
BCT4	Black Cat - Cideb	Merchant of Venice (The)	William Shakespeare, Adapted by Victoria Spence	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	12226			112	S	7	F	Human interest			978-88-530-1515-0						Y	
BCT4	Black Cat - Cideb	Midsummer Night's Dream (A)	William Shakespeare, Adapted by James Butler and Maria Lucia De Vanna	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	7,677 		A	96	S	7	F	Humor & comedy			978-88-530-0033-0						Y	
BCT4	Black Cat - Cideb	Moby Dick	Herman Melville, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	4.5-5.5	10,926 		A	128	S	7	F	Adventure			978-88-530-0610-3						Y	
BCT4	Black Cat - Cideb	Moonstone (The)	Wilkie Collins, Adapted by Christopher Hall	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	11320		A	128	S	7	F	Mystery & horror			978-88-530-0540-3						Y	
BCT4	Black Cat - Cideb	Morte d'Arthur (Le)	Sir Thomas Malory, Adapted by Victoria Spence	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	9,701 		A	144	S	7	F	Legend			978-88-7754-797-2						Y	
BCT4	Black Cat - Cideb	Much Ado About Nothing	William Shakespeare, Adapted by James Butler	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	9,816 		A	128	Y	7	F	Humor & comedy			978-88-530-0154-2						Y	
BCT4	Black Cat - Cideb	Northanger Abbey	Jane Austen, Adapted by Nancy Timmins	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	11329		A	128	S	7	F	Mystery & horror			978-88-530-0811-4						Y	
BCT4	Black Cat - Cideb	Othello	William Shakespeare, Adapted by Lucy Parker	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	4.5-5.5	10,235 		A	128	S	7	F	Tragedy			978-88-7754-607-4						Y	
BCT4	Black Cat - Cideb	Power and Ambition in Shakespeare	Adapted by Jane Elizabeth Cammack	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	12,279 		A	112	S	7	F	Tragedy			978-88-530-1210-4						Y	
BCT4	Black Cat - Cideb	Secret Agent (The)	Joseph Conrad, Adapted by Nancy Timmins	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	9,000 		A		S	7	F	Human interest			978-88-530-0313-3						Y	
BCT4	Black Cat - Cideb	Sign of Four (The)	Sir Arthur Conan Doyle, Adapted by Nancy Timmins	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	10,538 		A	128	S	7	F	Crime			978-88-530-0597-7						Y	
BCT4	Black Cat - Cideb	Study in Scarlet (A)	Sir Arthur Conan Doyle, Adapted by Nancy Timmins	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	9,006 		A	112	S	7	F	Crime			978-88-530-0295-2						Y	
BCT4		Tempest (The)	William Shakespeare, Adapted by Jennifer Gascoigne	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	11,498 		A	112	S	7	F	Human interest			978-88-530-1418-4							
BCT4	Black Cat - Cideb	Three Men on the Bummel	Jerome K. Jerome, Adapted by Gina D. B. Clemen	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	8,301 		A	112	S	7	F	Humour & comedy			978-88-530-1096-4						Y	
BCT4	Black Cat - Cideb	Tom Jones	Henry Fielding, Adapted by James Butler	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	4.5-5.5	11,573 		A	144	S	7	F	Adventure			978-88-7754-929-7						Y	
BCT4	Black Cat - Cideb	Tragedy of Dr Faustus (The)	Christopher Marlowe, Adapted by James Butler	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	8,364 		A	128	Y	7	F	Tragedy			978-88-7754-796-5						Y	
BCT4	Black Cat - Cideb	Turn of the Screw (The)	Henry James, Adapted by Maud Jackson	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	4.5-5.5	10,537 		A	128	S	7	F	Mystery & horror			978-88-530-0121-4						Y	
BCT4	Black Cat - Cideb	Valley of Fear (The)	Sir Arthur Conan Doyle, Adapted by Nancy Timmins	Black Cat Reading and Training	Step 4		Upper Int. (H)	B2	3.5-4.5	10641		A	128	S	7	F	Crime			978-88-530-0614-1						Y	
